datetime,conditions,quarter
30/6/2001,Partially cloudy,2
1/7/2001,Partially cloudy,3
2/7/2001,Partially cloudy,3
3/7/2001,Partially cloudy,3
4/7/2001,Partially cloudy,3
5/7/2001,Partially cloudy,3
6/7/2001,Partially cloudy,3
7/7/2001,Partially cloudy,3
8/7/2001,Partially cloudy,3
9/7/2001,Partially cloudy,3
10/7/2001,Partially cloudy,3
11/7/2001,Clear,3
12/7/2001,Clear,3
13/7/2001,Clear,3
14/7/2001,Partially cloudy,3
15/7/2001,Partially cloudy,3
16/7/2001,Partially cloudy,3
17/7/2001,Clear,3
18/7/2001,Clear,3
19/7/2001,Clear,3
20/7/2001,Partially cloudy,3
21/7/2001,Partially cloudy,3
22/7/2001,Clear,3
23/7/2001,Partially cloudy,3
24/7/2001,Partially cloudy,3
25/7/2001,Partially cloudy,3
26/7/2001,Partially cloudy,3
27/7/2001,Partially cloudy,3
28/7/2001,Partially cloudy,3
29/7/2001,Partially cloudy,3
30/7/2001,Partially cloudy,3
31/7/2001,Partially cloudy,3
1/8/2001,Partially cloudy,3
2/8/2001,Partially cloudy,3
3/8/2001,Partially cloudy,3
4/8/2001,Partially cloudy,3
5/8/2001,Partially cloudy,3
6/8/2001,Partially cloudy,3
7/8/2001,Clear,3
8/8/2001,Partially cloudy,3
9/8/2001,Partially cloudy,3
10/8/2001,Partially cloudy,3
11/8/2001,Clear,3
12/8/2001,Partially cloudy,3
13/8/2001,Clear,3
14/8/2001,Clear,3
15/8/2001,Partially cloudy,3
16/8/2001,Clear,3
17/8/2001,Clear,3
18/8/2001,Clear,3
19/8/2001,Partially cloudy,3
20/8/2001,Partially cloudy,3
21/8/2001,Partially cloudy,3
22/8/2001,Partially cloudy,3
23/8/2001,Partially cloudy,3
24/8/2001,Clear,3
25/8/2001,Partially cloudy,3
26/8/2001,Partially cloudy,3
27/8/2001,Partially cloudy,3
28/8/2001,Partially cloudy,3
29/8/2001,Partially cloudy,3
30/8/2001,Partially cloudy,3
31/8/2001,Partially cloudy,3
1/9/2001,Clear,3
2/9/2001,Partially cloudy,3
3/9/2001,Partially cloudy,3
4/9/2001,Partially cloudy,3
5/9/2001,Partially cloudy,3
6/9/2001,Partially cloudy,3
7/9/2001,Partially cloudy,3
8/9/2001,Partially cloudy,3
9/9/2001,Partially cloudy,3
10/9/2001,Partially cloudy,3
11/9/2001,Partially cloudy,3
12/9/2001,Clear,3
13/9/2001,Clear,3
14/9/2001,Partially cloudy,3
15/9/2001,Partially cloudy,3
16/9/2001,Partially cloudy,3
17/9/2001,Partially cloudy,3
18/9/2001,Partially cloudy,3
19/9/2001,Partially cloudy,3
20/9/2001,Partially cloudy,3
21/9/2001,Partially cloudy,3
22/9/2001,Partially cloudy,3
23/9/2001,Partially cloudy,3
24/9/2001,Partially cloudy,3
25/9/2001,Clear,3
26/9/2001,Clear,3
27/9/2001,Clear,3
28/9/2001,Clear,3
29/9/2001,Clear,3
30/9/2001,Partially cloudy,3
1/10/2001,Clear,4
2/10/2001,Partially cloudy,4
3/10/2001,Partially cloudy,4
4/10/2001,Partially cloudy,4
5/10/2001,Partially cloudy,4
6/10/2001,Partially cloudy,4
7/10/2001,Partially cloudy,4
8/10/2001,Partially cloudy,4
9/10/2001,Partially cloudy,4
10/10/2001,Partially cloudy,4
11/10/2001,Partially cloudy,4
12/10/2001,Partially cloudy,4
13/10/2001,Partially cloudy,4
14/10/2001,Partially cloudy,4
15/10/2001,Partially cloudy,4
16/10/2001,Partially cloudy,4
17/10/2001,Partially cloudy,4
18/10/2001,Partially cloudy,4
19/10/2001,Partially cloudy,4
20/10/2001,Partially cloudy,4
21/10/2001,Partially cloudy,4
22/10/2001,Partially cloudy,4
23/10/2001,Partially cloudy,4
24/10/2001,Partially cloudy,4
25/10/2001,Partially cloudy,4
26/10/2001,Partially cloudy,4
27/10/2001,Partially cloudy,4
28/10/2001,Partially cloudy,4
29/10/2001,Partially cloudy,4
30/10/2001,"Rain, Partially cloudy",4
31/10/2001,Partially cloudy,4
1/11/2001,Partially cloudy,4
2/11/2001,Partially cloudy,4
3/11/2001,Partially cloudy,4
4/11/2001,"Rain, Partially cloudy",4
5/11/2001,Partially cloudy,4
6/11/2001,Partially cloudy,4
7/11/2001,Partially cloudy,4
8/11/2001,Partially cloudy,4
9/11/2001,Partially cloudy,4
10/11/2001,Partially cloudy,4
11/11/2001,"Rain, Partially cloudy",4
12/11/2001,"Rain, Partially cloudy",4
13/11/2001,Partially cloudy,4
14/11/2001,Clear,4
15/11/2001,Clear,4
16/11/2001,Partially cloudy,4
17/11/2001,Partially cloudy,4
18/11/2001,Rain,4
19/11/2001,Partially cloudy,4
20/11/2001,Partially cloudy,4
21/11/2001,Partially cloudy,4
22/11/2001,Partially cloudy,4
23/11/2001,Partially cloudy,4
24/11/2001,"Rain, Partially cloudy",4
25/11/2001,Partially cloudy,4
26/11/2001,Partially cloudy,4
27/11/2001,Clear,4
28/11/2001,Partially cloudy,4
29/11/2001,"Rain, Partially cloudy",4
30/11/2001,Partially cloudy,4
1/12/2001,Partially cloudy,4
2/12/2001,"Rain, Partially cloudy",4
3/12/2001,"Rain, Partially cloudy",4
4/12/2001,Clear,4
5/12/2001,Partially cloudy,4
6/12/2001,Partially cloudy,4
7/12/2001,Clear,4
8/12/2001,Clear,4
9/12/2001,Clear,4
10/12/2001,Clear,4
11/12/2001,Clear,4
12/12/2001,Clear,4
13/12/2001,Clear,4
14/12/2001,"Rain, Partially cloudy",4
15/12/2001,Clear,4
16/12/2001,Partially cloudy,4
17/12/2001,Partially cloudy,4
18/12/2001,Clear,4
19/12/2001,Clear,4
20/12/2001,"Rain, Partially cloudy",4
21/12/2001,"Rain, Partially cloudy",4
22/12/2001,Clear,4
23/12/2001,Partially cloudy,4
24/12/2001,Clear,4
25/12/2001,Clear,4
26/12/2001,Partially cloudy,4
27/12/2001,Partially cloudy,4
28/12/2001,Partially cloudy,4
29/12/2001,"Rain, Partially cloudy",4
30/12/2001,"Rain, Partially cloudy",4
31/12/2001,"Rain, Partially cloudy",4
1/1/2002,Partially cloudy,1
2/1/2002,"Rain, Partially cloudy",1
3/1/2002,"Rain, Partially cloudy",1
4/1/2002,Partially cloudy,1
5/1/2002,Partially cloudy,1
6/1/2002,Partially cloudy,1
7/1/2002,Partially cloudy,1
8/1/2002,Partially cloudy,1
9/1/2002,Partially cloudy,1
10/1/2002,Clear,1
11/1/2002,Clear,1
12/1/2002,Clear,1
13/1/2002,Clear,1
14/1/2002,Partially cloudy,1
15/1/2002,Partially cloudy,1
16/1/2002,Partially cloudy,1
17/1/2002,Clear,1
18/1/2002,Partially cloudy,1
19/1/2002,Partially cloudy,1
20/1/2002,Clear,1
21/1/2002,Clear,1
22/1/2002,Partially cloudy,1
23/1/2002,Clear,1
24/1/2002,Clear,1
25/1/2002,Partially cloudy,1
26/1/2002,Partially cloudy,1
27/1/2002,"Rain, Partially cloudy",1
28/1/2002,"Rain, Partially cloudy",1
29/1/2002,"Rain, Partially cloudy",1
30/1/2002,Clear,1
31/1/2002,Clear,1
1/2/2002,Partially cloudy,1
2/2/2002,Clear,1
3/2/2002,Clear,1
4/2/2002,Clear,1
5/2/2002,Clear,1
